City;Population;Lat;Long
Berlin;3520031;52.523;13.413
Hamburg;1787408;53.567;10.033
München;1450381;48.133;11.567
Köln;1060582;50.95;6.95
Frankfurt am Main;732688;50.117;8.683
Stuttgart;623738;48.783;9.183
Düsseldorf;612178;51.233;6.783
Dortmund;586181;51.517;7.467
Essen;582624;51.467;7.017
Leipzig;560472;51.339;12.377
Bremen;557464;53.083;8.817
Dresden;543825;51.05;13.739
Hannover;532163;52.383;9.733
Nürnberg;509975;49.45;11.083
Duisburg;491231;51.433;6.767
Bochum;364742;51.483;7.217
Wuppertal;350046;51.267;7.2
Bielefeld;333090;52.017;8.533
Bonn;318809;50.733;7.1
Münster;310039;49.933;8.867
Karlsruhe;307755;49.017;8.4
Mannheim;305780;49.483;8.467
Augsburg;286374;48.367;10.9
Wiesbaden;276218;50.1;8.233
Gelsenkirchen;260368;51.55;7.1
Mönchengladbach;259996;51.2;6.433
Braunschweig;251364;52.267;10.533
Chemnitz;248645;50.83;12.917
Kiel;246306;54.333;10.133
Aachen;245885;50.783;6.083
Halle;236991;51.479;11.978
Magdeburg;235723;52.122;11.619
Freiburg im Breisgau;226393;48;7.85
Krefeld;225144;51.333;6.567
Lübeck;216253;53.867;10.683
Oberhausen;210934;47.783;11.133
Erfurt;210118;50.986;11.022
Mainz;209779;50;8.267
Rostock;206011;54.089;12.125
Kassel;197984;51.317;9.5
Hagen;189044;51.367;7.467
Hamm;179397;49.733;8.433
Saarbrücken;178151;49.233;7
MÜLHEIM AN DER RUHR;169278;51.433;6.883
Potsdam;167745;52.401;13.049
Ludwigshafen am Rhein;164718;49.467;8.45
Oldenburg;163830;53.15;8.217
Leverkusen;163487;51.033;7
Osnabrück;162403;52.283;8.05
Solingen;158726;51.167;7.083
Heidelberg;156267;49.4;8.683
Herne;155851;51.55;7.217
Neuss;155414;51.2;6.683
Darmstadt;155353;49.867;8.65
Paderborn;148126;51.717;8.75
Regensburg;145465;49.017;12.1
Ingolstadt;132438;48.767;11.433
Würzburg;124873;49.8;9.933
Fürth;124171;49.483;10.983
Wolfsburg;124045;52.417;10.783
Ulm;122636;48.4;9.983
Heilbronn;122567;49.15;9.217
Pforzheim;122247;48.883;8.7
Göttingen;118914;51.533;9.933
Bottrop;117143;51.533;6.933
Trier;114914;49.75;6.65
Recklinghausen;114330;51.617;7.2
Reutlingen;114310;48.5;9.217
BREMERHAVEN;114025;53.55;8.583
Koblenz;112586;50.35;7.6
Bergisch Gladbach;111366;50.983;7.133
Jena;109527;50.933;11.591
Remscheid;109499;51.183;7.183
Erlangen;108336;49.6;11
Moers;104529;51.45;6.633
Siegen;102355;50.883;8.033
Hildesheim;101667;52.15;9.95
Salzgitter;101079;52.117;10.417
